reviewer,reviewtype,n_reviews,n_turn,median_days,p75_days,p90_days,correction_rate
Michael Gilbride,Ordinance/Structural,291,289,3,7,11,49.1
Carlos Lopez,Addressing,196,193,3,7,10,34.7
Philip Man,Energy,124,123,14,26,35.6,61.3
Valerie Monsey,Drainage,314,311,13,20,29,64.3
Don Weissinger,Ordinance,33,33,11,17,33,63.6
Shimika Dowlen,Addressing,171,160,9,14,18,33.3
Sung Lee,Mandatory Housing Affordability,30,30,13.5,16,25.3,66.7
Katrina Nygaard,Mandatory Housing Affordability,88,88,7,12,14,55.7
Bill Whipkey,Structural Engineer,54,54,10,15,21.7,59.3
Dean Griswold,ECA GeoTech,211,207,16,24.5,33,71.1
Stephen Rudolph,Ordinance,31,30,3,7,11,58.1
Cornell Burt,Shoring - Private Property,6,6,14,36,43.5,50
Samuel Han,Structural Engineer,83,83,7,12.5,16.8,39.8
Jae Yu,Fire,122,61,4,7,14,32
Jackie Bronner,Geo Soils,52,50,13.5,27,33.2,57.7
Faith Zisk,Zoning,53,53,8,13,16,75.5
Holly Godard,Land Use,9,9,4,7,9.6,44.4
Charlie Engel,Mandatory Housing Affordability,15,15,13,21.5,30.2,66.7
Audrey Tay,Land Use,8,8,1,5,10.1,75
Clara Pellinger,Geo Soils,1,1,9,9,9,100
Sajada McCoy,Mandatory Housing Affordability,3,0,,,,100
Sajada McCoy,Ordinance/Structural,3,1,13,13,13,100
Hiro Ikeda,Shoring - Private Property,10,10,5,7,7.1,50
Clara Pellinger,Mandatory Housing Affordability,1,1,9,9,9,100
Tonya Capps,Zoning,1,1,0,0,0,100
Jason Steinberg,Zoning,103,103,15,21,27,71.8
Cornell Burt,Structural Engineer,25,24,20,38.3,52.8,36
Hiro Ikeda,Structural Engineer,39,39,6,15,22.6,48.7
Deborah McGarry,Tree,777,722,21,32,44.9,55
Heather Hirschy,Tree,329,313,8,14,26.8,61.1
James Clancy,Fire,87,85,9,20,28.6,34.5
Keary Uhlig,Tree,78,76,12,16,20.5,78.2
Liz Stinkeoway,Zoning,50,50,19,27.8,36,60
Dana Biggerstaff,ECA GeoTech,199,198,19,27,35,70.9
Jose Franco,Addressing,19,19,4,8,9.2,47.4
Samuel Han,Shoring - Private Property,8,8,5,6.8,9.3,25
Irving Chu,Land Use,43,39,13,18,27.2,39.5
Sajada McCoy,Land Use,3,1,3,3,3,100
Miguel Sanchez,Ordinance,23,22,15.5,29.8,34.9,69.6
Nathaniel Broughton,City Light,58,10,8.5,9,14,100
Jolene Lancaster,Addressing,1,0,,,,0
Christy Carr,ECA Riparian,15,9,38,42,50,33.3
Michael Place-C,Geo Soils,5,5,12,14,14.6,40
Bill Whipkey,Shoring - Private Property,2,2,9.5,13.3,15.5,50
Brian Newson,Structural Engineer,2,0,,,,50
Joseph Westergreen-C,Geo Soils,2,2,34.5,41.8,46.1,50
Branin Burdette,Tree,1,1,0,0,0,0
Eleanor Copeland,Shoring - Private Property,1,0,,,,0
Adam Bettcher,Ordinance,38,38,6,9.8,14,68.4
Marsha Poon,Energy,451,445,8,21,32.6,39.9
Edward Kwitek II,Ordinance/Structural,60,60,7,13,15.1,68.3
John Cuhel,Ordinance/Structural,173,171,4,7,13,49.1
Byounggeon Kim,Shoring - Private Property,2,2,4.5,5.8,6.5,0
Leah Carlson,Mandatory Housing Affordability,120,117,7,11,15,60
Pao Huang,ECA GeoTech,211,209,13,21,29,63
Mark Chubb,Fire,168,57,2,6,8.4,30.4
Shannon Szabo,Zoning,221,221,13,15,22,69.2
Caelen Ball,Structural Engineer,48,48,8,14,18.2,39.6
Christy Carr,ECA Wetland,44,22,18,26.5,36.9,43.2
Lief Friedrichs,Ordinance,4,4,9,13.3,15.5,75
Ben Perkowski,Shoreline,29,28,13,24.8,30.8,41.4
Elizabeth Williams,Zoning,101,100,15.5,22.3,27,67.3
Krzysztof Zaleski,Structural Engineer,47,45,15,28,35.6,72.3
Maxwell Branham,Zoning,16,16,11,12.5,19.5,56.3
Heather Hirschy,ECA Wildlife,23,12,8.5,10.8,13.9,47.8
Judy Edwards,Ordinance,16,15,14,22.5,33.6,62.5
Joel Lehn,Floodplain,3,3,31,38,42.2,33.3
Dennis Pradere,Shoring - Private Property,2,2,5,5,5,50
Rose Cheu,Ordinance,7,7,8,16,23.4,57.1
Steve Burns,Ordinance/Structural,1,1,4,4,4,0
Cristina Gallardo,Tree,4,1,0,0,0,0
Edward Kwitek II,Fire,1,1,0,0,0,0
Paul Vorapanich,Energy,1,1,33,33,33,0
Carly Guillory,Land Use,8,8,10,20.3,27.3,37.5
Roussi Roussev,Ordinance/Structural,3,3,21,28,32.2,66.7
Pao Huang,Geo Soils,66,64,13,17.5,25,57.6
Lenny Orlov,Housing,282,155,8,15.5,33,13.1
Lakshya Sharma-C,City Light,28,6,9,11,14.5,92.9
Casandra Courtillet,Ordinance/Structural,71,71,5,8,16,47.9
Valerie Monsey,Side Sewer Conflict,47,0,,,,0
Ben Perkowski,Land Use,23,22,14,19.3,26.9,60.9
Shannon Szabo,Housing,25,24,0,0.3,3.7,8
Stephanie Haines,Land Use,9,6,33,39.5,41,22.2
AlanW SCI Lee,Ordinance,13,13,8,18,24,53.8
Nouri Samiee,Structural Engineer,37,37,13,18,21.8,48.6
Sajada McCoy,Tree,2,2,6.5,9.8,11.7,100
David Aguilera,Shoring - Private Property,3,2,6,6.5,6.8,66.7
