reviewer,n_reviews,n_permits,n_types,primary_type,primary_team,first_finish,last_finish,n_turn,median_days,avg_days,p75_days,p90_days,max_days_raw,stall_rate,correction_rate,approval_rate,n_cycle1,n_cycle2,n_cycle3plus
Sonja Brown,136,29,2,Zoning,All Team Reviews - LU - Zoning,2023-01-10,2025-06-26,132,10,11,14,20.9,34,0,61,39,33,28,75
Ray Ramos,215,207,1,City Light,All External Reviews,2023-01-06,2025-04-04,24,6,8.5,10.3,18.6,75,4,4.7,95.3,138,48,29
Iris Moore,105,32,1,Zoning,All Team Reviews - LU - Zoning,2023-11-21,2025-06-13,105,10,11.2,14,18,48,0,69.5,30.5,32,32,41
Maria Cruz,3,2,1,Zoning,All Team Reviews - LU - Zoning,2023-08-09,2024-03-13,3,8,12.3,15.5,20,23,0,33.3,66.7,0,1,2
Sandra Montgomery,39,32,1,Addressing,All Team Reviews - LU - Dev Site,2023-01-27,2024-02-28,39,11,11.8,17.5,22.2,30,0,17.9,82.1,29,6,4
David Graves,3,1,1,Policy,All Team Reviews - LU - Zoning,2024-12-30,2025-03-12,3,10,8.7,12,13.2,14,0,33.3,33.3,1,1,1
Allison Whitworth,21,15,1,Land Use,All Team Reviews - LU - Discretionary,2023-01-04,2023-04-20,21,8,9,13,14,34,0,66.7,33.3,1,5,15
Steve Hou,12,8,1,Shoring - Right of Way,All External Reviews,2023-04-28,2024-02-20,8,16,16,18.5,21.8,26,0,41.7,58.3,5,6,1
Marsha Poon,492,263,2,Energy,All Team Reviews - ES - Energy/Mechanical,2023-01-05,2025-06-10,486,8,13.3,21,32,62,0.6,41.1,58.7,229,179,84
Stephen Rudolph,316,140,3,Ordinance/Structural,All Team Reviews - ES - O/S,2023-01-04,2025-06-23,312,4,5.7,8,13,41,0,54.1,45.9,118,114,84
Caelen Ball,85,46,4,Structural Engineer,All Team Reviews - ES - O/S,2023-06-05,2025-06-16,85,7,8.6,13,17,24,0,40,60,38,31,16
Benjamin Enfield,69,28,4,Structural Engineer,All Team Reviews - ES - O/S,2023-01-12,2025-05-14,68,10.5,13.3,16,30.8,91,1.4,56.5,43.5,17,26,26
